reqCPU,meanCPU
0.0,0.0004684527315256593
0.0006247,0.00018820078924425425
0.001249,0.0004285235396632031
0.001562,7.716242547619046e-05
0.001625,0.0003132497321428571
0.001812,0.0009547726190476195
0.001875,0.002647568751635697
0.002125,0.0014892836889460151
0.002499,0.0037933722718253965
0.003124,0.00032858331775745964
0.004372,3.55609119208875e-05
0.004982,0.0
0.004997,7.765612516624034e-05
0.005623,0.004365977659523809
0.006248,0.0012946582746723243
0.006271,0.005661111111111111
0.006424,0.007771552352941176
0.00647,0.005438648333333333
0.006493,0.003952242
0.006523,0.0007962666666666667
0.006531,0.0023336684375000003
0.006538,0.004878618235294118
0.006577,0.004813171636363636
0.006622,0.0005655129421768707
0.00663,0.003793450136363637
0.006676,0.0035857159459459454
0.006699,0.0031437651162790708
0.006706,0.014560365217391305
0.006714,0.0023442595348837207
0.006721,0.0055029210153846155
0.006737,0.004837982244897959
0.00676,0.00333821273125
0.006767,0.0037133949579831937
0.006783,0.004167754628959278
0.006798,0.0014806790163153466
0.006805,0.0029203211068166567
0.006821,0.0019462267741935486
0.006828,0.004085866844621514
0.006874,0.005189221997463897
0.006943,0.00115575
0.007057,0.00148795
0.007088,0.006098154444906246
0.007118,0.0025238857142857144
0.007126,0.0003764266666666666
0.007172,1.9073333333333333e-05
0.007179,0.004385647083333334
0.007202,0.003697856666666667
0.00721,0.0049783399999999995
0.007248,0.0013358577380952383
0.007263,0.00024643099999999997
0.007271,0.0071037561363636375
0.007278,0.00060807
0.007301,0.00012214137931034483
0.007317,0.0010204190364583334
0.007362,0.0007242371803278688
0.007378,0.00136165
0.007385,0.000229125
0.007431,0.006242587952320136
0.007469,0.006867107272727273
0.0075,0.00034410172819283495
0.007561,0.0019819044598997494
0.00769,0.0014769362385321102
0.007736,0.0036245733999999996
0.007797,0.0034182391932773095
0.007843,0.0020663830831936132
0.007874,0.0023060264302325576
0.007904,0.0021906798245614036
0.007996,0.004320690476190475
0.008118,0.012485464285714287
0.008133,0.0022546493333333332
0.008209,0.002926617777777778
0.008224,0.0022751341111111115
0.008301,0.0029724597222222223
0.008316,0.004345963529411765
0.008347,0.0019758009771276594
0.008408,0.001702826821917808
0.00853,0.0016439333333333334
0.008575,0.0038947567031039124
0.008667,0.005701294135
0.008743,0.007589714098639455
0.008759,0.001127798463888889
0.008774,0.0015867434444444442
0.008804,0.002395717777777778
0.008835,0.0025238444444444447
0.00885,0.00428585
0.008865,0.0019547324279279277
0.008896,0.002663332967032967
0.008911,0.0036977634090909093
0.008926,0.0017997673913043475
0.008972,0.005639965652173913
0.009018,0.007538046404157065
0.009033,0.003661587513513513
0.009064,0.010004847921513075
0.009079,0.004179943244444444
0.009094,0.008313748659793814
0.00914,0.004986262638888889
0.009201,0.006610853611111111
0.009262,0.0022398161111111107
0.009293,0.005529468421052632
0.009323,0.004866618918918919
0.009369,0.004340502351199198
0.009689,0.002178307692307692
0.009872,0.0006002
0.009933,0.004395218749999999
0.009964,0.0041973526444662075
0.009995,0.003188422923607122
0.01006,0.0
0.01021,0.002911376923076923
0.01036,0.0035744416
0.01041,0.005823416666666667
0.01057,0.0018597
0.01059,0.0015269959999999999
0.01062,0.002418241477765107
0.01064,0.0088099
0.01068,0.00354715
0.01071,0.0011558333333333334
0.01073,0.00374882
0.01077,0.00428897
0.01079,0.00490573
0.01085,0.0010381183
0.01089,0.00036714
0.01094,0.004491563760034306
0.01097,0.00134099
0.01099,0.0054976
0.01111,0.00255448
0.01122,0.0009386600000000002
0.01125,0.0
0.01126,0.00453769090909091
0.01131,0.0042867999999999995
0.01144,0.005678100000000001
0.01175,0.001065254761904762
0.01178,0.016785
0.01187,0.0
0.01222,0.0048225
0.01231,0.0012069352499999998
0.01241,0.0005755000000000001
0.01247,0.0006189833461538462
0.0125,0.002105693693885121
0.01256,0.0
0.01268,0.0044798619834710745
0.01274,0.0031747708500000013
0.01306,0.003832049761904763
0.01312,0.0009881053626943003
0.01318,0.0052553038416395
0.0135,0.0020206666666666667
0.01353,0.0023132
0.01375,4.2216347619047625e-05
0.01381,0.0014195720930232558
0.01407,0.0
0.01437,0.00015124398888888892
0.01445,0.009588949782343988
0.01477,0.04238286854770434
0.015,0.00297255
0.01511,0.014152153846153849
0.01524,0.0008115640000000001
0.01562,0.004459768751989807
0.01611,0.012173729420731704
0.01624,0.0026356767857142853
0.01633,0.0
0.01648,0.012659487671464202
0.01682,0.0001246595238095238
0.01688,0.003526105533539356
0.01749,0.0058343
