reqDisk,meanDisk
0.0,0.0
9.537e-07,4.89296251819494e-07
1.907e-06,8.791295371194615e-05
2.861e-06,3.742763440860227e-07
3.815e-06,2.1361197710089845e-06
4.768e-06,3.983177526617028e-06
5.722e-06,1.5800166641846708e-06
6.676e-06,4.7685e-07
7.629e-06,5.945981702586769e-07
8.583e-06,3.1950135430916524e-06
9.537e-06,2.4763585722452903e-06
1.049e-05,1.5500880189230895e-06
1.144e-05,7.52763257070863e-06
1.24e-05,7.118816116676499e-06
1.335e-05,1.1847901293156072e-05
1.431e-05,6.310692908262856e-06
1.526e-05,0.00017775743412933351
1.621e-05,1.823548310139168e-05
1.717e-05,7.237024143262052e-06
1.812e-05,1.7339642857142954e-05
1.907e-05,4.498317597809422e-06
2.003e-05,0.0
2.098e-05,2.091118348274399e-07
2.193e-05,2.10855555555557e-05
2.289e-05,2.1022083703903827e-05
2.384e-05,9.537e-06
2.48e-05,0.0
2.575e-05,2.5212797619047635e-05
2.67e-05,4.627007728544895e-06
2.861e-05,3.509665163826605e-06
2.956e-05,2.9183958333333254e-05
3.052e-05,4.873647781995134e-05
3.242e-05,2.469706688710436e-05
3.433e-05,1.6210777211310988e-05
3.529e-05,1.6920949281240265e-05
3.624e-05,0.000145453864851194
3.815e-05,1.9701925074360172e-05
3.91e-05,2.6476088820579215e-06
4.005e-05,1.8929756468797533e-05
4.101e-05,5.56769714338429e-05
4.196e-05,3.645823956433397e-05
4.292e-05,4.947426606527468e-06
4.387e-05,0.00019898161535172388
4.482e-05,0.00013779022664600878
4.578e-05,0.0004476956583557316
4.673e-05,3.7412866725313414e-05
4.864e-05,4.225809763058099e-05
5.054e-05,3.1236370478385654e-06
5.245e-05,4.232726305555952e-05
5.341e-05,3.258144257246376e-05
5.436e-05,0.0
5.531e-05,5.7108131510322613e-05
5.627e-05,0.0004925875663890523
5.722e-05,2.7462279217736808e-05
5.817e-05,2.510100002861875e-05
5.913e-05,2.2983051956724994e-05
6.008e-05,5.784410714285716e-05
6.104e-05,3.0340459527687313e-05
6.39e-05,1.936947583025827e-05
6.485e-05,2.149432774049219e-05
6.58e-05,8.814357924133803e-05
6.676e-05,5.450158888888889e-05
6.771e-05,6.5979190292415e-05
6.962e-05,4.605741186369246e-05
7.057e-05,7.489038690476193e-05
7.153e-05,2.3433228374233133e-05
7.248e-05,1.977612687585265e-05
7.343e-05,1.1921500000000012e-06
7.439e-05,3.319018099547508e-05
7.534e-05,3.6678042851802046e-05
7.725e-05,1.4533484202779618e-05
7.82e-05,1.4204333333333347e-05
7.915e-05,5.1884427391564725e-05
8.011e-05,1.865794131534569e-05
8.106e-05,5.784484251968531e-05
8.202e-05,8.020439426523353e-05
8.297e-05,4.188025807060603e-05
8.392e-05,2.1603225934433058e-05
8.678e-05,0.00020209290476190517
8.774e-05,0.00020770795238095205
8.965e-05,1.7163934477379112e-05
9.06e-05,4.542625236789097e-05
9.155e-05,2.8926159531875655e-07
9.251e-05,0.0005133854798153773
9.441e-05,0.00014867503067067024
9.537e-05,9.332893617021287e-06
9.632e-05,5.846478869151232e-05
9.823e-05,8.505741930965877e-05
9.918e-05,4.089736830357141e-05
0.0001001,0.00039836811878281764
0.0001011,2.7270321243523242e-05
0.000102,1.3048869035532981e-05
0.000103,6.358e-07
0.0001059,3.0538219493476572e-06
0.0001068,0.00024134089285714257
0.0001078,2.67194114225277e-05
0.0001097,3.912978281786938e-05
0.0001106,0.0001510637868493674
0.0001116,7.775216537282943e-05
0.0001125,4.200167063492067e-05
0.0001135,2.9452997958047202e-05
0.0001154,1.439520929535469e-05
0.0001163,0.00010211559469446518
0.0001183,2.038136730970727e-05
0.0001202,1.7946064516129037e-06
0.000123,7.913242658315918e-06
0.000124,5.721999999999998e-07
0.0001268,1.4533828635221834e-06
0.0001278,3.934527465467399e-05
0.0001307,8.424730157558684e-05
0.0001326,6.954663095238096e-05
0.0001335,4.4894078773454686e-05
0.0001345,4.0547599766189306e-05
0.0001354,7.938186786004902e-05
0.0001364,6.193816326530614e-05
0.0001383,8.292880952380955e-05
0.0001392,4.857171238358834e-05
0.0001402,0.0006724375804024828
0.0001431,3.953642826274911e-05
0.000144,6.0452196574832383e-05
0.0001478,6.742287037037041e-05
0.0001507,9.994699404761886e-05
0.0001535,2.011231421744323e-06
0.0001545,3.0531242402443166e-05
0.0001554,5.2079764503114784e-06
0.0001564,0.00015542954370310284
0.0001574,0.0001538248511904766
0.0001602,0.00038331551398337156
0.0001612,6.0286590945194605e-05
0.0001621,4.631851507103678e-05
0.0001688,2.2469891543108193e-05
0.0001726,5.094955631399319e-05
0.0001736,3.167054681593839e-06
0.0001745,0.00013015310793237984
0.0001755,0.00013196216509988597
0.0001764,0.00022862378219278874
0.0001774,6.0753730284479765e-05
0.0001802,1.7043042406692394e-05
0.0001831,0.0001577635002344988
0.000185,0.00017513939075630212
0.0001869,0.0
0.0001879,4.322680000000004e-05
0.0001888,1.4074805538579021e-05
0.0001898,5.3095892857142874e-05
0.0001907,0.00013937562401385438
0.0001926,6.796500010758914e-05
0.0001936,1.5720685332369958e-05
0.0001945,0.0005948731796579878
0.0001974,5.0518326807622014e-05
0.0001984,5.0203227307710266e-05
0.0001993,0.00022277059944318767
0.0002012,6.211872619047623e-05
0.0002031,7.056999999999994e-05
0.0002041,2.9919525335775314e-05
0.0002069,4.0015221843003395e-05
0.0002079,0.000387605286984467
0.0002108,1.419731209039883e-05
0.0002117,9.900133182112769e-06
0.0002127,0.00012824804992917513
0.0002155,1.2492990705303452e-05
0.0002165,2.9079345238095223e-05
0.0002184,6.054898809523806e-05
0.0002213,2.2460057173295448e-05
0.0002222,8.582999999999997e-06
0.0002232,5.1387857000398834e-06
0.0002251,0.0004073161411381894
0.000226,3.20868325314493e-07
0.0002317,5.1930635653542205e-05
0.0002356,1.7074642857142847e-05
0.0002375,5.41876930882451e-05
0.0002394,4.296103571428564e-05
0.0002403,2.9080964590964584e-05
0.0002413,7.46413504506699e-05
0.0002432,3.469775715484263e-05
0.0002451,8.416440476190485e-06
0.000247,1.9179041904761928e-05
0.000248,1.0350885496183227e-05
0.0002489,7.185197978478081e-05
0.0002508,6.783465324740174e-05
0.0002537,7.515995129870138e-05
0.0002546,2.0756257440476176e-05
0.0002575,2.3532411514865476e-06
0.0002584,0.00014684316666666698
0.0002623,0.00025336601335002116
0.0002632,3.17179781746032e-05
0.0002642,1.2180193548387065e-06
0.0002651,6.65146951955895e-05
0.000267,3.9955037037036896e-05
0.000268,7.650390476190472e-05
0.0002699,9.271168550643091e-06
0.0002708,0.00016214165884194064
0.0002737,2.9332931929181902e-05
0.0002747,5.683564700560875e-05
0.0002766,9.536999999999986e-07
0.0002813,2.6122604196816207e-05
0.0002823,5.665734315252162e-05
0.0002832,0.00021031683502337008
0.0002851,0.00013191142857142842
0.0002918,0.0001901590238095238
0.0002928,4.711160000000002e-05
0.0003014,3.1821445436507875e-05
0.0003033,0.0018235321115288227
0.0003061,4.252197075527712e-05
0.0003071,0.0002447261015990345
0.000308,1.4512619461817592e-05
0.000309,0.00014830322603870047
0.0003109,6.966707187770416e-05
0.0003157,6.500485191448247e-05
0.0003166,0.0003709281813154998
0.0003176,3.9014545454545446e-06
0.0003195,8.582999999999997e-06
0.0003214,0.00010277052417991193
0.0003223,0.00012220997905428631
0.0003233,3.814999999999977e-06
0.0003242,2.1021904761904707e-05
0.0003262,1.0263761467116361e-05
0.0003281,0.00016178196185843714
0.000329,0.0
0.0003309,0.0006895474174684902
0.0003319,0.0001070292013129103
0.0003328,2.2875149384187492e-05
0.0003347,2.406959760479045e-05
0.0003366,0.0002002947178464607
0.0003376,0.0
0.0003386,6.53165435897437e-05
0.0003395,3.502046924603175e-06
0.0003405,5.376260736975861e-05
0.0003414,0.0
0.0003433,1.5163951066499366e-05
0.0003443,2.856020017406451e-06
0.0003462,2.8610000000000167e-06
0.0003471,8.21603305240477e-05
0.000351,9.859138952404309e-05
0.0003519,9.610219387755099e-05
0.0003538,0.0003056789019494158
0.0003557,0.0001781096083753391
0.0003567,6.921279998626281e-05
0.0003576,1.9525761904761888e-06
0.0003605,2.860999999999999e-06
0.0003614,0.0
