jobId,taskIndex,machineId,ReqCPU,ReqMem,ReqDisk,samCPU,Mem,Disk,meanCPUcomputation
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008575,0.0001211,0.03564
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,0.0001221,0.0343
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008636,0.0001221,0.0329
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008743,0.000123,0.03259
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008652,0.0001144,0.03067
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008606,8.678e-05,0.03455
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008591,8.774e-05,0.03687
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008728,8.869e-05,0.03503
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008789,8.965e-05,0.0354
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008652,9.06e-05,0.03589
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008636,9.155e-05,0.03687
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008621,9.251e-05,0.03821
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008591,9.346e-05,0.03619
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,9.346e-05,0.03827
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,9.537e-05,0.03613
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008591,9.632e-05,0.03619
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,9.727e-05,0.03394
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,9.823e-05,0.03455
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,9.918e-05,0.03442
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,9.918e-05,0.03314
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,0.0001001,0.03693
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008621,0.0001011,0.03918
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,0.000102,0.03827
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,0.000104,0.03381
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008606,0.000104,0.03516
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,0.0001059,0.03412
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,0.0001068,0.03436
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,0.0001068,0.03424
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00853,0.0001087,0.03516
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008621,0.0001097,0.03406
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008591,0.0001097,0.03705
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008575,0.0001106,0.03595
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008667,0.0001116,0.03412
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,0.0001125,0.03418
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008484,0.0001135,0.03375
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,0.0001144,0.03345
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,0.0001154,0.03491
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00853,0.0001163,0.03809
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,0.0001173,0.03656
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008438,0.0001183,0.03345
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,0.0001192,0.03375
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,0.0001202,0.03278
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008331,0.0001211,0.0329
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008469,0.0001221,0.03296
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008545,0.0001221,0.03412
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,0.000123,0.03223
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008652,0.000124,0.03485
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008514,0.0001249,0.03333
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008484,0.0001259,0.03369
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008636,0.0001268,0.03455
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.00856,0.0001278,0.03479
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,0.0001287,0.03369
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008316,0.0001192,0.03235
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008575,9.155e-05,0.03394
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,9.251e-05,0.034
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008499,9.346e-05,0.03314
17109330,144,97960088,0.0625,0.09778,0.0005016,0.0,0.008575,9.441e-05,0.0321
