jobId,taskIndex,machineId,startTime, endTime, maxCPU, maxMem, maxDisk
6221861800,12236,257405906,999703728,,0.004784,0,0.0004997
6221861800,12236,257405906,999703728,,0.0007648,0.0005245,0.0002146
6221861800,12236,257405906,999703728,,0.0006199,0.0005236,7.153e-05
6221861800,12236,257405906,999703728,,0.0002117,0.0005131,0.01292
6221861800,12236,257405906,999703728,,0,0,0
6221861800,5535,257405906,999703720,,0.003708,0,7.153e-05
6221861800,5535,257405906,999703720,,0.0005322,0.000639,0.0002146
6221861800,5535,257405906,999703720,,0.0004044,0.000639,0.0006428
6221861800,5535,257405906,999703720,,0.0002222,0.0006037,0.01828
6221861800,5535,257405906,999703720,,0,0,0
6218406404,473,1093649,988037988,,0.1335,0.002075,0.002357
6218406404,473,1093649,988037988,,0.1016,0.001066,0
6218406404,473,1093649,988037988,,0.07471,0.001072,0.0002146
6218406404,473,1093649,988037988,,0.00441,0,0
6218406404,473,1093649,988037988,,0,0,7.153e-05
6218406404,279,1093649,988037980,,0.1215,0.002068,0.001642
6218406404,279,1093649,988037980,,0.09424,0.001987,0.001715
6218406404,279,1093649,988037980,,0.003693,0,0
6218406404,279,1093649,988037980,,0.003174,0.001879,0.0001431
6218406404,279,1093649,988037980,,0,0,0
6250345153,294,1093649,988037970,,0.123,0.006813,0.03784
6250345153,294,1093649,988037970,,0.1223,0.00676,0.01457
6250345153,294,1093649,988037970,,0.1217,0.0106,0.05774
6250345153,294,1093649,988037970,,0.1212,0.006554,0.01385
6250345153,294,1093649,988037970,,0.1189,0.0065,0.01292
6250345153,294,1093649,988037970,,0.1187,0.006477,0.008636
6250345153,294,1093649,988037970,,0.1083,0.01123,0.0647
6250345153,294,1093649,988037970,,0.08691,0.009552,0.0592
6250345153,294,1093649,988037970,,0.06201,0.006607,0.0001431
6250345153,294,1093649,988037970,,0.03253,0.006554,0.006355
6250345153,294,1093649,988037970,,0.01056,0,0
6250345153,294,1093649,988037970,,0.001106,0,7.153e-05
6250345153,294,1093649,988037970,,0,0,0
6250345153,294,1093649,988037970,,0,0,0
6251480902,0,97966544,980769270,,0.05585,0.02899,0.00293
6251480902,0,97966544,980769270,,0.04999,0.02982,0.003784
6251480902,0,97966544,980769270,,0.02011,0.02982,0.01663
6251480902,0,97966544,980769270,,0.01578,0,0
6251480902,0,97966544,980769270,,0,0,7.153e-05
6250245734,3542,351638025,974363037,,0.03491,0.05365,0.002499
6250245734,3542,351638025,974363037,,0.02274,0,0.0009995
